anio_hecho;mes_hecho;dia_hecho;hora_hecho;minuto_hecho;fecha_hecho;edad;feminicidio;grupo_feminicidio;modalidad;estado_civil;grupo_armado;grupo_caracterizacion;medio_transporte;nivel_academico;ocupacion;sexo;comuna_hecho;codigo_barrio_hecho;codigo_comuna_hecho;barrio_hecho
2012;1;1;0;37;1/1/2012;13;Conexión;Si;Arma de fuego;NA;NA;Grupos Delincuenciales Organizados;Automóvil;Primaria;Estudiante;Femenino;Robledo;0709;07;Córdoba
2012;1;1;3;55;1/1/2012;37;No aplica;No aplica;Cortopunzante;Soltero;NA;Convivencia;Caminata;NA;Vendedor ambulante;Masculino;Manrique;0302;03;Las Granjas
2012;1;1;4;38;1/1/2012;28;No aplica;No aplica;Arma de fuego;Soltero;NA;Grupos Delincuenciales Organizados;Caminata;Bachillerato;Estampador;Masculino;Manrique;0303;03;Campo Valdés No.2
2012;1;1;12;55;1/1/2012;35;No aplica;No aplica;Asfixia mecánica;Casado;NA;En proceso de categorización;NA;Bachillerato;Desempleado;Masculino;Santa Elena;9002;90;Media Luna
2012;1;1;15;30;1/1/2012;32;No aplica;No aplica;Arma de fuego;Soltero;NA;En proceso de categorización;NA;Primaria;Oficial construcción;Masculino;San Antonio de Prado;AUC2;80;San Antonio de Prado
2012;1;1;20;0;1/1/2012;33;No aplica;No aplica;Arma de fuego;Unión marital de hecho;NA;Grupos Delincuenciales Organizados;Caminata;Bachillerato;Oficios varios;Masculino;San Javier;1314;13;Las Independencias
2012;1;1;21;36;1/1/2012;20;No aplica;No aplica;Arma de fuego;Soltero;NA;Grupos Delincuenciales Organizados;Caminata;Primaria;Desempleado;Masculino;Belén;1610;16;El Rincón
2012;1;2;20;10;2/1/2012;29;No aplica;No aplica;Arma de fuego;Soltero;NA;Grupos Delincuenciales Organizados;Caminata;Bachillerato;Comerciante;Masculino;Doce de Octubre;0608;06;Picacho
2012;1;3;14;55;3/1/2012;15;No aplica;No aplica;Arma de fuego;Soltero;NA;Grupos Delincuenciales Organizados;Bicicleta;Primaria;Desempleado;Masculino;San Javier;1303;13;Santa Rosa de Lima
2012;1;4;21;57;4/1/2012;20;No aplica;No aplica;Arma de fuego;NA;NA;Grupos Delincuenciales Organizados;Caminata;NA;NA;Masculino;Robledo;0713;07;Aures No.1
2012;1;5;16;30;5/1/2012;17;No aplica;No aplica;Arma de fuego;Soltero;NA;Homicidios asociados a hurtos;Caminata;Primaria;Oficial construcción;Masculino;San Antonio de Prado;AUC2;80;San Antonio de Prado
2012;1;6;16;15;6/1/2012;44;No aplica;No aplica;Arma de fuego;Soltero;NA;Homicidios asociados a hurtos;Automóvil;Bachillerato;NA;Masculino;San Cristóbal;6017;60;El Llano
2012;1;7;8;30;7/1/2012;24;No aplica;No aplica;Contundente;Soltero;NA;En proceso de categorización;Motocicleta;Primaria;Desempleado;Masculino;Robledo;0719;07;Fuente Clara
2012;1;8;14;19;8/1/2012;17;No;No;Arma de fuego;Soltero;NA;Grupos Delincuenciales Organizados;Caminata;Primaria;Estudiante;Femenino;Belén;1610;16;El Rincón
2012;1;8;16;5;8/1/2012;30;No aplica;No aplica;Cortopunzante;NA;NA;Violencia de género;NA;NA;NA;Masculino;San Antonio de Prado;AUC2;80;San Antonio de Prado
2012;1;8;18;46;8/1/2012;37;No aplica;No aplica;Arma de fuego;Unión marital de hecho;NA;Grupos Delincuenciales Organizados;Caminata;Bachillerato;Técnico;Masculino;San Cristóbal;AE1;60;Área de Expansión Pajarito
